,tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_R,Pre_L,r_pre,r_pre_reg,pinn_r
0,16.295176,260.96136,131.36015,13.197746,19.428936,4.19054,50.5,121.30152,4.6628513,114.92326,111.84877,120.52432
1,25.653347,372.38477,153.64836,15.706048,30.19309,7.028359,50.5,129.60037,4.6085987,138.84407,133.2424,124.51803
2,12.310452,168.44267,202.7659,7.6024456,14.850951,3.6831706,50.5,124.957275,4.6817446,159.33447,155.98856,130.86479
3,14.354719,207.75932,163.85043,9.848457,17.231236,4.0725307,50.5,120.22882,4.654173,144.68301,137.58235,122.57014
4,28.960215,405.32104,163.00775,15.908317,33.999332,8.135792,50.5,121.3824,4.5392175,142.64142,136.4599,117.41214
5,11.176682,133.44417,273.52725,5.4049854,13.557517,3.6707294,50.5,121.79003,4.658382,237.78696,233.92725,129.44974
6,23.629208,349.83197,146.96692,15.22112,27.853582,6.3862576,50.5,125.161835,4.595649,119.040825,119.7583,120.36368
7,19.615173,307.97833,134.37898,14.7691765,23.234299,5.075108,50.5,127.46371,4.6784444,115.38686,112.077545,124.11991
8,10.839752,145.68625,214.93451,6.7667093,13.1654215,3.3278992,50.5,121.704994,4.6369996,162.62616,158.18674,131.258
9,26.722622,384.3581,156.44608,16.091305,31.442583,7.3693137,50.5,132.55121,4.6286716,139.3798,133.02887,127.7067
10,12.137304,154.18806,229.74066,6.611145,14.680144,3.8203583,50.5,122.681755,4.659641,172.08109,167.60089,127.863594
11,15.775348,232.79358,156.58734,10.861566,18.842314,4.3713617,50.5,120.94539,4.668086,140.6948,134.50725,121.82401
12,29.320702,409.87946,164.81703,16.012321,34.411037,8.240939,50.5,123.2705,4.5613027,142.65129,135.5194,119.54727
13,13.13643,187.6395,178.24551,8.806048,15.810032,3.7897165,50.5,123.47245,4.673442,151.69331,145.61006,127.829704
14,20.950434,321.27338,137.62624,14.934536,24.780573,5.5220413,50.5,124.79537,4.6356583,114.79262,111.71396,120.92688
15,13.271837,198.15147,160.33075,9.824302,15.9755125,3.6976666,50.5,123.80348,4.6778073,141.82678,134.8771,127.897385
16,15.735207,254.6023,129.67932,13.058613,18.782526,4.0175924,50.5,120.40277,4.655405,113.50679,110.7145,119.95046
17,24.708927,363.19714,151.55844,15.602458,29.098158,6.7073975,50.5,132.28752,4.6394367,138.75742,132.94485,127.13241
18,13.300004,187.21407,184.61026,8.54816,15.990645,3.8729308,50.5,123.21326,4.6732273,153.56747,148.3145,127.246185
19,11.30589,173.06827,162.37161,9.113616,13.710573,3.1426082,50.5,125.01908,4.665697,145.02663,138.46548,133.25395
20,14.938906,235.6727,140.58183,11.834569,17.863495,3.922168,50.5,123.11195,4.6823244,115.27879,113.677284,124.391205
21,18.44301,279.7284,143.413,13.117041,21.906271,4.9435496,50.5,123.48924,4.6714473,115.9724,115.707596,121.869514
22,27.93627,399.76404,163.67946,16.272549,32.809093,7.71869,50.5,139.03123,4.685814,143.54214,137.53453,134.42401
23,25.975769,375.284,154.06848,15.737193,30.569456,7.1421084,50.5,127.99726,4.5930843,138.15964,131.89162,123.003334
24,10.989953,142.98813,225.75206,6.5117297,13.3540535,3.441775,50.5,123.198746,4.6554265,167.77249,163.07698,131.8921
25,21.138351,323.82843,139.72586,14.843209,24.976698,5.57049,50.5,125.82359,4.640938,114.91702,113.97427,121.772385
