tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
20.0,250.0,250.0,12.0,20.0,6.0,1.0,7.381384244046587,5.5340257,6.5012836
20.0,250.0,250.0,12.0,20.0,6.0,25.75,7.984948048162755,127.903625,6.3124485
20.0,250.0,250.0,12.0,20.0,6.0,50.5,4.64004335852079,408.57422,5.9747777
20.0,250.0,250.0,12.0,20.0,6.0,75.25,3.3900635814839943,770.4195,5.523937
20.0,250.0,250.0,12.0,20.0,6.0,100.0,2.849263395691401,1126.2714,5.107352
15.0,200.0,250.0,12.0,20.0,2.0,1.0,5.3147170256651695,8.5676155,7.247033
15.0,200.0,250.0,12.0,20.0,2.0,25.75,7.433986435797249,148.48141,6.8223934
15.0,200.0,250.0,12.0,20.0,2.0,50.5,4.394078450596171,454.48267,6.2938137
15.0,200.0,250.0,12.0,20.0,2.0,75.25,3.197419008017146,848.2172,5.736147
15.0,200.0,250.0,12.0,20.0,2.0,100.0,2.716158211806049,1221.012,5.2783127
15.0,250.0,100.0,8.0,20.0,2.0,1.0,2.676110703381289,7.3576694,3.133751
15.0,250.0,100.0,8.0,20.0,2.0,25.75,34.4202284740258,14.454325,3.075066
15.0,250.0,100.0,8.0,20.0,2.0,50.5,36.56147814808658,26.632425,3.068762
15.0,250.0,100.0,8.0,20.0,2.0,75.25,31.692493595379776,45.754932,3.066959
15.0,250.0,100.0,8.0,20.0,2.0,100.0,27.195711140952547,70.764656,3.0629292
15.0,200.0,150.0,16.0,20.0,4.0,1.0,4.638019249523914,8.498908,6.2735853
15.0,200.0,150.0,16.0,20.0,4.0,25.75,11.576264865809543,84.19696,6.0243163
15.0,200.0,150.0,16.0,20.0,4.0,50.5,6.738370242801896,272.34357,5.783633
15.0,200.0,150.0,16.0,20.0,4.0,75.25,4.892953404908971,534.4147,5.5304832
15.0,200.0,150.0,16.0,20.0,4.0,100.0,4.007516730184515,826.08435,5.268899
20.0,200.0,150.0,16.0,20.0,2.0,1.0,5.803241148641839,6.7956214,6.2765346
20.0,200.0,150.0,16.0,20.0,2.0,25.75,12.046486636486485,81.23935,6.048807
20.0,200.0,150.0,16.0,20.0,2.0,50.5,6.8200645168176806,269.62222,5.79526
20.0,200.0,150.0,16.0,20.0,2.0,75.25,4.927664492916315,530.4968,5.528885
20.0,200.0,150.0,16.0,20.0,2.0,100.0,4.032659938624516,819.58966,5.260272
15.0,200.0,250.0,8.0,20.0,6.0,1.0,3.963777743087965,8.53021,5.381324
15.0,200.0,250.0,8.0,20.0,6.0,25.75,15.101925191845584,56.082413,5.234822
15.0,200.0,250.0,8.0,20.0,6.0,50.5,9.311490280341175,175.34735,5.145732
15.0,200.0,250.0,8.0,20.0,6.0,75.25,6.862268620365515,346.0185,5.0220456
15.0,200.0,250.0,8.0,20.0,6.0,100.0,5.585936754914362,549.6769,4.8867893
20.0,250.0,350.0,8.0,20.0,2.0,1.0,6.940928157342595,6.006608,6.635398
20.0,250.0,350.0,8.0,20.0,2.0,25.75,9.250744439772077,113.12707,6.46824
20.0,250.0,350.0,8.0,20.0,2.0,50.5,5.351631932509828,364.21912,6.1429605
20.0,250.0,350.0,8.0,20.0,2.0,75.25,3.9635363732641458,688.1302,5.7685556
20.0,250.0,350.0,8.0,20.0,2.0,100.0,3.2897723532059056,1035.8641,5.423614
15.0,250.0,350.0,16.0,15.0,4.0,1.0,9.866118157478581,7.852333,12.330059
15.0,250.0,350.0,16.0,15.0,4.0,25.75,2.6357448642442765,592.31824,9.649424
15.0,250.0,350.0,16.0,15.0,4.0,50.5,1.7990523768553568,1306.7627,7.4091654
15.0,250.0,350.0,16.0,15.0,4.0,75.25,1.5456799144186728,1836.6598,6.0042934
15.0,250.0,350.0,16.0,15.0,4.0,100.0,1.4780706609744085,2166.686,5.096961
20.0,200.0,350.0,12.0,15.0,2.0,1.0,8.894385258347413,6.963238,9.857058
20.0,200.0,350.0,12.0,15.0,2.0,25.75,4.104636659462091,341.45148,8.662567
20.0,200.0,350.0,12.0,15.0,2.0,50.5,2.6345421121173307,894.58527,7.427722
20.0,200.0,350.0,12.0,15.0,2.0,75.25,2.1201746962933776,1436.6982,6.4424467
20.0,200.0,350.0,12.0,15.0,2.0,100.0,1.8663912013286346,1905.1945,5.659292
10.0,200.0,100.0,8.0,15.0,6.0,1.0,2.1278459247793484,10.253859,3.472543
10.0,200.0,100.0,8.0,15.0,6.0,25.75,26.329397074298463,20.635239,3.3580976
10.0,200.0,100.0,8.0,15.0,6.0,50.5,27.435973624528614,38.665558,3.343285
10.0,200.0,100.0,8.0,15.0,6.0,75.25,24.01840383217776,65.82621,3.3439257
10.0,200.0,100.0,8.0,15.0,6.0,100.0,20.567273855362807,102.09111,3.3418334
10.0,200.0,150.0,12.0,20.0,2.0,1.0,2.5679449733678235,12.861304,5.2564297
10.0,200.0,150.0,12.0,20.0,2.0,25.75,14.858063983252062,55.478333,5.094816
10.0,200.0,150.0,12.0,20.0,2.0,50.5,10.241068114291924,155.21786,5.009746
10.0,200.0,150.0,12.0,20.0,2.0,75.25,7.715035315385009,301.00525,4.9116297
10.0,200.0,150.0,12.0,20.0,2.0,100.0,6.263651023426606,481.42093,4.799242
15.0,200.0,350.0,8.0,20.0,6.0,1.0,4.92234704596365,8.643436,6.771405
15.0,200.0,350.0,8.0,20.0,6.0,25.75,8.766342827559864,120.43102,6.5252886
15.0,200.0,350.0,8.0,20.0,6.0,50.5,5.254426690030693,375.32507,6.215294
15.0,200.0,350.0,8.0,20.0,6.0,75.25,3.9576616155297177,701.33936,5.870573
15.0,200.0,350.0,8.0,20.0,6.0,100.0,3.311750189312206,1050.4021,5.536474
10.0,250.0,250.0,12.0,20.0,2.0,1.0,4.581711978928487,9.748388,7.1085453
10.0,250.0,250.0,12.0,20.0,2.0,25.75,7.272134115826456,150.20609,6.751376
10.0,250.0,250.0,12.0,20.0,2.0,50.5,4.345843331937859,455.607,6.2401237
10.0,250.0,250.0,12.0,20.0,2.0,75.25,3.176693316556653,847.2543,5.6924953
10.0,250.0,250.0,12.0,20.0,2.0,100.0,2.687395652312688,1224.1682,5.235918
