,tCu,wCu,tLam,nLam,aln,tsu,freq,tabpfn,pinn,ParaPFN,para_L,inter_R,,diff
0,13,228,174,10,15,4,75.25,159.1448,300.4471,152.15895,3.7333286,324.30222,,49.3558266996087
1,12,220,204,9,19,2,75.25,183.42323,299.7502,179.00089,3.8728175,312.88696,,40.2833125716013
2,13,219,110,16,18,4,75.25,447.32355,300.38724,454.23065,5.244028,305.90793,,51.2150283081265
3,13,227,189,10,20,4,75.25,154.18219,299.60574,144.14551,3.7544284,310.7044,,51.8882682287729
4,11,220,226,8,17,4,75.25,229.04845,299.53418,232.87494,4.3988256,315.1986,,22.2543016626683
5,18,222,148,12,17,3,75.25,274.02692,300.11795,277.4146,4.6326637,306.02423,,7.56480910255451
6,14,215,227,8,17,4,75.25,229.60596,300.45297,233.96245,4.4039874,311.1385,,22.1300924400914
7,10,231,204,9,18,5,75.25,183.6052,299.5019,185.11096,3.8696938,314.52448,,38.193727652479
8,17,225,103,16,15,4,75.25,438.984,299.63974,446.3692,5.155016,301.13443,,48.9686247892219
9,11,224,204,9,19,2,75.25,183.42323,300.3805,179.00089,3.8728175,315.7439,,40.4086184023264
10,15,215,222,8,15,4,75.25,235.4807,300.222,247.88689,4.390255,322.76413,,17.4321368853715
11,13,246,230,8,18,2,75.25,235.21677,299.5002,238.35832,4.3702106,315.67166,,20.4146374526628
12,10,207,102,16,16,3,75.25,442.02863,299.4779,452.89746,5.2781663,297.48322,,51.2290088851298
13,11,224,161,11,17,4,75.25,136.401,299.9025,131.18365,3.651661,314.8657,,56.2579004843241
14,19,227,198,9,15,5,75.25,179.9159,299.79755,178.56772,3.8693056,315.17978,,40.4372317252092
15,17,224,138,13,18,2,75.25,85.94625,299.94196,79.26366,3.4611516,307.9082,,73.5736673855169
16,11,234,101,16,15,3,75.25,457.3728,300.0176,459.71777,5.2127304,301.17807,,53.2302671576601
17,18,227,180,10,17,3,75.25,161.18588,299.63333,161.64621,3.7963524,305.59814,,46.0519929475136
18,14,214,182,10,18,4,75.25,162.79025,300.24173,157.44724,3.7504258,309.7825,,47.5598411986235
19,11,223,197,9,17,2,75.25,172.73947,299.70563,169.06241,3.8316233,317.7927,,43.5905124638466
20,20,211,113,15,16,2,75.25,67.496895,300.3427,72.137505,3.2543552,301.54495,,75.9816020166297
21,15,226,135,13,17,3,75.25,84.647125,300.5156,84.73779,3.4027722,309.41782,,71.8025320482531
22,19,217,109,16,17,4,75.25,444.8816,299.83127,450.79288,5.2338514,301.6856,,50.3488545407555
23,11,240,202,9,18,2,75.25,180.44897,300.22556,176.05072,3.8625715,320.2499,,41.3605157402321
24,16,231,229,8,17,4,75.25,232.39966,300.1211,236.17494,4.427901,308.6763,,21.3067858274543
25,14,206,229,8,18,4,75.25,232.39966,299.53464,236.17494,4.427901,304.9082,,21.1527120869893
26,14,231,180,10,17,4,75.25,157.24849,300.22668,152.08556,3.7457638,313.386,,49.34308969476
27,17,228,148,12,17,3,75.25,274.02692,300.39526,277.4146,4.6326637,307.76773,,7.65014068464329
28,18,228,130,13,15,3,75.25,86.97879,299.82382,83.5056,3.4743414,308.198,,72.1484437093757
29,11,219,133,13,17,3,75.25,98.74365,299.53134,91.5016,3.4630435,310.45105,,69.4517441814269
30,15,244,207,9,18,5,75.25,186.72836,300.5107,187.98317,3.9222403,308.85077,,37.4454320594907
31,11,247,234,8,18,6,75.25,236.60065,299.53717,239.8034,4.439196,314.41846,,19.9420225543294
32,17,225,137,13,17,5,75.25,100.57005,299.77396,93.58743,3.4802852,306.70514,,68.780667273435
33,18,248,183,10,17,5,75.25,163.72334,299.51706,163.7933,3.8120887,304.7524,,45.314200132707
34,13,239,206,9,18,5,75.25,184.461,300.4663,183.9335,3.9039493,312.63388,,38.7839834284244
35,14,224,166,11,18,5,75.25,149.93823,299.91223,147.63615,3.7393472,310.44333,,50.773547981021
36,14,216,183,10,18,5,75.25,163.72334,299.8384,163.7933,3.8120887,309.5055,,45.3728074856323
37,19,243,150,12,17,4,75.25,344.50278,299.85828,346.27228,4.9103107,302.94452,,15.4786454454418
38,13,233,179,10,16,6,75.25,159.39285,300.49756,152.45126,3.7266886,319.27847,,49.2670556126978
39,16,244,228,8,17,2,75.25,232.60614,300.19235,235.62904,4.355568,312.38028,,21.5073135607886
40,17,250,206,9,18,3,75.25,186.01126,299.81656,181.46758,3.819273,305.35315,,39.4737969110179
41,16,219,132,13,16,3,75.25,98.07854,300.35687,91.3018,3.4605093,308.82693,,69.6022268443535
42,15,249,171,11,19,5,75.25,149.72754,300.37692,148.98431,3.6879516,308.54092,,50.4008796681183
43,10,211,193,9,15,4,75.25,167.24295,300.47937,167.3865,3.9418862,324.8219,,44.2935133949462
44,15,225,179,10,17,3,75.25,159.93864,300.46487,158.92142,3.7229402,311.88672,,47.1081527767289
45,16,230,201,9,17,3,75.25,178.54163,300.34842,177.96599,3.8828154,310.05276,,40.7468199766125
46,15,235,164,11,17,5,75.25,141.49384,300.5384,141.69241,3.6505928,311.5055,,52.8538083652538
47,16,215,123,14,16,5,75.25,97.46233,300.26352,93.46467,3.4337955,308.50308,,68.8724524377787
48,16,202,239,8,20,6,75.25,284.77173,299.80054,288.879,4.5388255,297.9258,,3.64293539964938
49,18,212,105,16,16,3,75.25,470.3127,299.90118,478.1546,5.319981,300.68542,,59.4373853413981
50,16,208,178,10,17,3,75.25,160.8221,299.73236,160.28656,3.7955418,307.773,,46.5234384435501
51,15,224,142,12,15,4,75.25,276.3968,299.4045,284.39404,4.563348,314.81363,,5.01343834177508
52,14,212,143,12,16,3,75.25,266.5407,299.91595,267.44775,4.61335,311.63385,,10.8257663522064
53,15,210,134,13,17,3,75.25,83.69632,299.4749,83.42537,3.397344,307.57333,,72.1427839194537
54,20,245,113,15,15,5,75.25,49.44898,299.38013,64.64066,3.2742848,300.2894,,78.4085002568474
55,16,229,118,15,18,2,75.25,80.94775,299.48178,77.7621,3.3914218,306.08975,,74.0344471039273
56,10,200,157,11,16,5,75.25,127.431046,299.863,131.41391,3.6079597,312.45532,,56.175350076535
57,18,219,137,13,17,5,75.25,100.57005,299.4392,93.58743,3.4802852,305.69098,,68.7457654174871
58,16,230,230,8,17,5,75.25,235.54681,299.8054,239.4502,4.302228,308.29263,,20.1314586061492
59,19,250,244,8,20,6,75.25,382.9502,299.48074,381.27887,4.850395,291.69693,,27.3133190468275
60,12,215,151,12,18,6,75.25,338.7014,299.93835,346.1831,4.67927,311.43213,,15.4180850831513
61,14,243,175,10,15,4,75.25,160.38402,299.5069,153.52425,3.7365575,323.18564,,48.7409972858722
62,11,233,142,13,20,2,75.25,57.78035,300.46213,58.148796,3.2807727,319.0893,,80.646880190858
63,19,235,131,14,18,6,75.25,82.85389,299.4061,76.236984,3.3844814,302.58444,,74.5372642708348
64,19,228,233,8,18,4,75.25,236.33537,299.76007,241.18637,4.4494314,297.31717,,19.5401942626982
65,10,241,100,16,15,2,75.25,328.01068,299.63058,329.98923,4.9553657,301.05115,,10.1320265775276
66,16,243,198,9,16,2,75.25,173.00745,300.56992,169.60664,3.8452244,317.3605,,43.5716521466952
67,16,228,186,10,19,3,75.25,167.27693,299.56305,167.3063,3.8240042,306.53903,,44.1498876446878
68,18,229,177,10,16,3,75.25,159.40381,299.70877,159.21982,3.7856941,309.19305,,46.8751548378114
69,12,228,199,9,16,5,75.25,177.65347,300.5765,177.32257,3.8696613,321.4193,,41.0058437702216
70,12,240,177,10,16,4,75.25,153.59506,299.85773,148.64706,3.7270966,320.6475,,50.4274710543563
71,14,207,207,9,19,5,75.25,186.07745,299.71506,185.27193,3.9112024,305.53314,,38.183977141489
72,16,226,212,9,20,4,75.25,160.44333,300.14642,153.57164,3.9066617,303.46353,,48.8344255447058
73,16,212,125,14,17,4,75.25,81.87137,300.35086,76.115036,3.4030952,307.18008,,74.6579596942056
