,tcu,wcu,tlam,nlam,aln,tsu8,real_or_synthetic
0,2.0,1.0,0.0,0.0,0.0,2.0,Generated samples
1,1.0,1.0,0.0,1.0,1.0,0.0,Generated samples
2,0.0,1.0,1.0,0.0,1.0,2.0,Generated samples
3,1.0,0.0,3.0,1.0,1.0,0.0,Generated samples
4,1.0,1.0,2.0,1.0,0.0,0.0,Generated samples
5,1.0,1.0,0.0,2.0,1.0,2.0,Generated samples
6,1.0,0.0,3.0,0.0,0.0,2.0,Generated samples
7,2.0,0.0,3.0,0.0,0.0,0.0,Generated samples
8,2.0,1.0,2.0,2.0,0.0,2.0,Generated samples
9,2.0,0.0,3.0,2.0,1.0,2.0,Generated samples
10,1.0,1.0,3.0,0.0,0.0,0.0,Generated samples
11,1.0,0.0,1.0,2.0,1.0,2.0,Generated samples
12,2.0,0.0,2.0,2.0,1.0,0.0,Generated samples
13,1.0,0.0,0.0,0.0,1.0,1.0,Generated samples
14,1.0,1.0,3.0,0.0,1.0,0.0,Generated samples
15,0.0,1.0,0.0,2.0,1.0,0.0,Generated samples
16,1.0,1.0,3.0,1.0,0.0,1.0,Generated samples
17,1.0,0.0,1.0,2.0,1.0,1.0,Generated samples
18,1.0,1.0,0.0,0.0,1.0,1.0,Generated samples
19,1.0,1.0,2.0,1.0,1.0,0.0,Generated samples
20,2.0,0.0,0.0,1.0,0.0,2.0,Generated samples
21,0.0,0.0,0.0,2.0,1.0,1.0,Generated samples
22,2.0,0.0,3.0,2.0,1.0,0.0,Generated samples
23,2.0,0.0,0.0,2.0,1.0,2.0,Generated samples
24,1.0,0.0,3.0,1.0,1.0,2.0,Generated samples
25,1.0,1.0,1.0,1.0,0.0,0.0,Generated samples
26,2.0,0.0,0.0,1.0,1.0,1.0,Generated samples
27,1.0,1.0,2.0,2.0,0.0,0.0,Generated samples
28,1.0,1.0,1.0,2.0,1.0,0.0,Generated samples
29,1.0,1.0,1.0,2.0,0.0,1.0,Generated samples
30,2.0,1.0,1.0,2.0,1.0,0.0,Generated samples
