tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
20.0,250.0,250.0,12.0,20.0,6.0,1.0,6.5536001131081045,6.3486745953559875,6.6219079196453094
20.0,250.0,250.0,12.0,20.0,6.0,25.75,7.954824327877212,128.725989818573,6.329067558050156
20.0,250.0,250.0,12.0,20.0,6.0,50.5,4.809137823583016,393.9625644683838,5.971053093671799
20.0,250.0,250.0,12.0,20.0,6.0,75.25,3.4916093817786376,751.6264915466309,5.550618231296539
20.0,250.0,250.0,12.0,20.0,6.0,100.0,2.892219059353351,1119.536865234375,5.15335088968277
15.0,200.0,250.0,12.0,20.0,2.0,1.0,4.528961625052368,10.19948959350586,7.3518597185611725
15.0,200.0,250.0,12.0,20.0,2.0,25.75,7.50583128107122,147.76003980636597,6.854861676692963
15.0,200.0,250.0,12.0,20.0,2.0,50.5,4.610621517300245,436.55944633483887,6.3435390293598175
15.0,200.0,250.0,12.0,20.0,2.0,75.25,3.374228802813986,816.663444519043,5.828157395124435
15.0,200.0,250.0,12.0,20.0,2.0,100.0,2.8351379610706355,1194.2060470581055,5.388570815324783
15.0,250.0,100.0,8.0,20.0,2.0,1.0,2.6826946068251876,7.3530930280685425,3.1395068019628525
15.0,250.0,100.0,8.0,20.0,2.0,25.75,33.97799629699976,14.674601554870605,3.0818179547786713
15.0,250.0,100.0,8.0,20.0,2.0,50.5,36.11646469987833,26.989588975906372,3.072063982486725
15.0,250.0,100.0,8.0,20.0,2.0,75.25,31.342646113287444,46.31321668624878,3.070112094283104
15.0,250.0,100.0,8.0,20.0,2.0,100.0,26.834814929018027,71.78273725509644,3.065764218568802
15.0,200.0,150.0,16.0,20.0,4.0,1.0,4.134598304430531,9.671237468719482,6.364078104496002
15.0,200.0,150.0,16.0,20.0,4.0,25.75,11.085222207374906,88.57475328445435,6.068722128868103
15.0,200.0,150.0,16.0,20.0,4.0,50.5,6.793902260511949,271.83882331848145,5.820489764213562
15.0,200.0,150.0,16.0,20.0,4.0,75.25,5.060807170253178,518.7972011566162,5.553043067455292
15.0,200.0,150.0,16.0,20.0,4.0,100.0,4.149367537747278,797.9275016784668,5.269452214241028
20.0,200.0,150.0,16.0,20.0,2.0,1.0,4.982228183720383,7.966116696596146,6.316702306270599
20.0,200.0,150.0,16.0,20.0,2.0,25.75,11.412628014883623,85.7448182106018,6.048343449831009
20.0,200.0,150.0,16.0,20.0,2.0,50.5,6.84285615822714,269.2170219421387,5.80588835477829
20.0,200.0,150.0,16.0,20.0,2.0,75.25,5.048946055732953,518.9494514465332,5.541654109954834
20.0,200.0,150.0,16.0,20.0,2.0,100.0,4.112702973389726,803.0056571960449,5.256129801273346
15.0,200.0,250.0,8.0,20.0,6.0,1.0,3.761338223516792,8.984182059764862,5.378250956535339
15.0,200.0,250.0,8.0,20.0,6.0,25.75,14.818072938553234,57.22963619232178,5.24150025844574
15.0,200.0,250.0,8.0,20.0,6.0,50.5,9.359268140167005,174.50796031951904,5.147375911474228
15.0,200.0,250.0,8.0,20.0,6.0,75.25,6.890940443963578,344.88367080688477,5.026489228010178
15.0,200.0,250.0,8.0,20.0,6.0,100.0,5.587675729034222,549.9181518554688,4.890456289052963
20.0,250.0,350.0,8.0,20.0,2.0,1.0,7.535460240297142,5.5526460111141205,6.659320265054703
20.0,250.0,350.0,8.0,20.0,2.0,25.75,9.13547227341741,114.00254106521606,6.437072992324829
20.0,250.0,350.0,8.0,20.0,2.0,50.5,5.350828975407931,363.25038719177246,6.125702619552612
20.0,250.0,350.0,8.0,20.0,2.0,75.25,3.979608695120622,684.8551254272461,5.764381408691406
20.0,250.0,350.0,8.0,20.0,2.0,100.0,3.2947937213471983,1033.5401763916016,5.419705957174301
15.0,250.0,350.0,16.0,15.0,4.0,1.0,8.362123454234522,9.038962543010712,12.029713749885559
15.0,250.0,350.0,16.0,15.0,4.0,25.75,2.6786888937408913,583.8234939575195,9.665998935699463
15.0,250.0,350.0,16.0,15.0,4.0,50.5,1.8134694719595408,1300.5695724487305,7.433144778013229
15.0,250.0,350.0,16.0,15.0,4.0,75.25,1.5615193643888914,1826.1448974609375,6.031095921993256
15.0,250.0,350.0,16.0,15.0,4.0,100.0,1.4789630028989997,2177.0159301757812,5.124353110790253
20.0,200.0,350.0,12.0,15.0,2.0,1.0,7.884252893842786,7.783216029405594,9.76651817560196
20.0,200.0,350.0,12.0,15.0,2.0,25.75,4.106460199699283,340.9732246398926,8.65427702665329
20.0,200.0,350.0,12.0,15.0,2.0,50.5,2.631596996518754,895.8908843994141,7.430247038602829
20.0,200.0,350.0,12.0,15.0,2.0,75.25,2.114230779796104,1440.101936340332,6.439605355262756
20.0,200.0,350.0,12.0,15.0,2.0,100.0,1.8893315874534706,1887.997428894043,5.677141457796097
10.0,200.0,100.0,8.0,15.0,6.0,1.0,2.117135490509295,10.283929109573364,3.465196430683136
10.0,200.0,100.0,8.0,15.0,6.0,25.75,25.881616478177698,21.06190299987793,3.3692396581172943
10.0,200.0,100.0,8.0,15.0,6.0,50.5,27.38346498390629,38.82968521118164,3.3510508984327316
10.0,200.0,100.0,8.0,15.0,6.0,75.25,24.013201791059192,65.86708068847656,3.3452772200107574
10.0,200.0,100.0,8.0,15.0,6.0,100.0,20.746816833938222,101.09799575805664,3.3382138162851334
10.0,200.0,150.0,12.0,20.0,2.0,1.0,2.7256562009412932,12.101518452167511,5.249658763408661
10.0,200.0,150.0,12.0,20.0,2.0,25.75,15.056537643606433,54.77827739715576,5.097724765539169
10.0,200.0,150.0,12.0,20.0,2.0,50.5,10.267186916983993,154.84237098693848,5.01037272810936
10.0,200.0,150.0,12.0,20.0,2.0,75.25,7.760087120588756,298.98451805114746,4.907145380973816
10.0,200.0,150.0,12.0,20.0,2.0,100.0,6.289933835799314,478.6331024169922,4.791471838951111
15.0,200.0,350.0,8.0,20.0,6.0,1.0,4.945388909484419,8.618519604206085,6.7834910452365875
15.0,200.0,350.0,8.0,20.0,6.0,25.75,8.73904363355809,120.87516784667969,6.528958320617676
15.0,200.0,350.0,8.0,20.0,6.0,50.5,5.26886597455958,374.44733238220215,6.21779853105545
15.0,200.0,350.0,8.0,20.0,6.0,75.25,3.9628728357102982,700.551097869873,5.871696263551712
15.0,200.0,350.0,8.0,20.0,6.0,100.0,3.305944533545279,1051.6250076293945,5.533202946186066
10.0,250.0,250.0,12.0,20.0,2.0,1.0,4.0523204101945165,11.14709347486496,7.189282536506653
10.0,250.0,250.0,12.0,20.0,2.0,25.75,7.327812964143265,149.19306087493896,6.757186383008957
10.0,250.0,250.0,12.0,20.0,2.0,50.5,4.528608496391345,440.0836868286133,6.281000107526779
10.0,250.0,250.0,12.0,20.0,2.0,75.25,3.3399440092738555,818.9932632446289,5.785396695137024
10.0,250.0,250.0,12.0,20.0,2.0,100.0,2.807212825632969,1197.3805618286133,5.34967839717865
20.0,200.0,100.0,12.0,15.0,2.0,1.0,3.8117353794201305,6.993936270475388,4.242917090654373
20.0,200.0,100.0,12.0,15.0,2.0,25.75,23.95133214534909,28.070669651031494,4.1555196940898895
20.0,200.0,100.0,12.0,15.0,2.0,50.5,17.356439644663592,75.31696701049805,4.119857728481293
20.0,200.0,100.0,12.0,15.0,2.0,75.25,12.979250735137423,148.77062702178955,4.083950251340866
20.0,200.0,100.0,12.0,15.0,2.0,100.0,10.441916507602942,243.14799976348877,4.040834367275238
10.0,250.0,100.0,8.0,15.0,6.0,1.0,2.327453136590241,8.964075922966003,3.3205238431692123
10.0,250.0,100.0,8.0,15.0,6.0,25.75,29.89276177259023,17.630924463272095,3.2574969977140427
10.0,250.0,100.0,8.0,15.0,6.0,50.5,30.315472052870273,34.00129175186157,3.2485421448946
10.0,250.0,100.0,8.0,15.0,6.0,75.25,25.925858982390622,59.18261003494263,3.2451957315206528
10.0,250.0,100.0,8.0,15.0,6.0,100.0,21.895160991654922,92.92095851898193,3.2380381077528
20.0,200.0,250.0,12.0,20.0,6.0,1.0,5.793834485866581,7.5484181344509125,6.960527688264847
20.0,200.0,250.0,12.0,20.0,6.0,25.75,7.794068002656551,136.18082332611084,6.560290098190308
20.0,200.0,250.0,12.0,20.0,6.0,50.5,4.750288794883748,409.1792736053467,6.12579408288002
20.0,200.0,250.0,12.0,20.0,6.0,75.25,3.4641172668730107,773.6842384338379,5.6685236394405365
20.0,200.0,250.0,12.0,20.0,6.0,100.0,2.8733062218763483,1148.3805313110352,5.251554369926453
15.0,200.0,150.0,8.0,20.0,4.0,1.0,2.6493977560248267,9.426316738128662,3.9747454822063446
15.0,200.0,150.0,8.0,20.0,4.0,25.75,23.886884167756378,26.241072297096252,3.8742173314094543
