tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
19.971008,234.37068,252.08838,12.034021,15.14797,3.236538,1.0,6.250096965075845,6.533599063754082,6.499191999435426
16.18444,208.04024,253.29117,12.075802,15.01013,3.1747856,25.75,8.21379256096674,122.63905620574955,6.226090490818024
11.021358,212.89703,254.5571,12.116631,14.995368,3.1742947,50.5,4.812377511898549,388.6410923004149,5.894366830587386
11.075546,212.74199,255.55972,12.098356,14.98583,3.1804912,75.25,3.442615217135164,755.1245117187498,5.498201847076416
11.650219,215.55403,257.4466,12.076492,15.124085,3.286297,100.0,2.8845879561042684,1110.441188812256,5.09799587726593
15.002752,201.05183,250.52713,12.015944,19.423779,3.1800292,1.0,4.718040439047789,9.520095944404604,7.148634880781173
15.403693,209.1478,251.34593,12.021143,15.008242,3.1707792,25.75,7.646026442515699,141.7147521972656,6.697207510471344
11.731353,216.46317,252.14685,12.03292,14.998867,3.258769,50.5,4.547508709864977,434.60015296936047,6.228624761104584
11.888676,217.60925,253.48306,12.033765,14.997545,3.249918,75.25,3.295805648882474,824.7978858947754,5.749403119087219
11.954651,218.04059,254.2767,12.030937,15.051,3.4492724,100.0,2.7935943926909146,1195.746627807617,5.3164611756801605
14.997068,249.97005,99.87351,7.9986057,20.000038,4.0428696,1.0,2.6532329196523365,7.4471912682056445,3.1447636932134633
15.537365,249.99438,99.93375,7.999506,19.999792,4.0855703,25.75,34.186570857732754,14.580787420272827,3.080912873148918
15.571461,249.96533,99.95723,7.9995294,19.999355,4.001105,50.5,36.387544867379155,26.779669165611267,3.071048781275749
17.872284,249.95306,99.93809,7.998477,19.99901,4.0637903,75.25,31.64017949905579,45.858624696731574,3.068835377693176
18.549786,249.94016,99.928215,7.998685,19.999212,3.9192822,100.0,26.840809519040157,71.7291860580444,3.064161449670792
15.714667,241.72025,149.43307,15.980008,20.000896,4.552646,1.0,3.974226602575625,9.976946890354155,6.310596585273743
15.433951,210.10141,149.84384,15.987348,20.000256,4.296259,25.75,11.166053209032619,87.1969428062439,6.017884522676468
17.543697,204.26015,150.02258,15.99591,19.999046,3.8976457,50.5,6.718744499643895,272.6799640655518,5.77391129732132
15.430487,202.55467,150.15924,15.996891,19.998592,3.2749176,75.25,4.937910296741017,529.0998458862306,5.525791049003601
10.336302,201.92618,150.62566,15.999695,19.386848,3.2825942,100.0,4.0941797611918265,805.9279518127445,5.251498639583588
19.920956,249.40187,149.33148,15.98283,20.001602,4.1157823,1.0,4.946068916072282,8.011751145124435,6.306780934333801
19.21693,223.1604,149.65765,15.978259,20.000126,3.9197838,25.75,11.588075207013489,84.21833753585813,6.031993538141251
19.937372,205.0499,149.84152,15.992447,19.999466,3.4415007,50.5,6.825661998674359,268.9217529296875,5.784948080778123
19.729225,201.4932,149.96768,15.995064,19.99918,3.240496,75.25,4.955331234046062,527.233688354492,5.525727570056915
13.854864,201.73395,150.3565,15.997852,19.902176,3.3215728,100.0,4.078316131227103,808.1195487976076,5.245376080274581
14.995368,200.3923,249.81026,8.000515,20.000834,4.457117,1.0,3.7053600407479537,9.11373656988144,5.374610751867294
14.9931555,204.8487,249.81897,8.003795,19.999825,4.5745277,25.75,14.715090598084936,57.60751819610597,5.239441603422165
