tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_Q,Pre_R,Pre_L
1.0,0.0,1.0,2.0,1.0,Generated samples,75.25,9.630834393220217,190.42566,3.8788502
1.0,0.0,0.0,1.0,1.0,Generated samples,100.0,9.099159606090913,268.352,3.8862097
1.0,0.0,0.0,2.0,1.0,Generated samples,25.75,8.963602294858001,71.462234,3.959151
1.0,0.0,2.0,2.0,0.0,Generated samples,1.0,0.48495588974420034,52.070034,4.018928
2.0,1.0,0.0,0.0,1.0,Generated samples,50.5,9.016763977080963,138.25665,3.9288504
1.0,0.0,0.0,2.0,0.0,Generated samples,100.0,9.099159606090913,268.352,3.8862097
2.0,0.0,2.0,2.0,1.0,Generated samples,50.5,9.042253137464071,138.03867,3.9337447
1.0,0.0,2.0,0.0,1.0,Generated samples,100.0,9.21029977142565,264.2431,3.8734465
2.0,0.0,1.0,2.0,0.0,Generated samples,75.25,9.630834393220217,190.42566,3.8788502
1.0,0.0,2.0,1.0,1.0,Generated samples,25.75,8.855248543411472,72.28783,3.9564786
2.0,0.0,0.0,0.0,0.0,Generated samples,75.25,9.599232026712063,191.90988,3.8962557
2.0,0.0,3.0,2.0,1.0,Generated samples,25.75,8.798100710091767,72.75578,3.9563923
1.0,1.0,2.0,1.0,0.0,Generated samples,25.75,8.855248543411472,72.28783,3.9564786
0.0,1.0,2.0,0.0,1.0,Generated samples,25.75,8.855248543411472,72.28783,3.9564786
2.0,0.0,3.0,2.0,0.0,Generated samples,75.25,9.62003512374936,191.52768,3.896923
2.0,1.0,1.0,0.0,0.0,Generated samples,25.75,8.733335536412486,73.35907,3.959833
2.0,1.0,0.0,0.0,1.0,Generated samples,25.75,8.963602294858001,71.462234,3.959151
2.0,0.0,2.0,1.0,1.0,Generated samples,1.0,0.48495588974420034,52.070034,4.018928
1.0,0.0,2.0,1.0,1.0,Generated samples,75.25,9.549114120837915,192.89659,3.8958414
1.0,0.0,2.0,1.0,0.0,Generated samples,1.0,0.48495588974420034,52.070034,4.018928
2.0,1.0,1.0,0.0,0.0,Generated samples,25.75,8.733335536412486,73.35907,3.959833
2.0,0.0,1.0,1.0,0.0,Generated samples,25.75,8.733335536412486,73.35907,3.959833
2.0,1.0,2.0,1.0,1.0,Generated samples,1.0,0.48495588974420034,52.070034,4.018928
2.0,0.0,0.0,2.0,1.0,Generated samples,75.25,9.599232026712063,191.90988,3.8962557
1.0,0.0,0.0,0.0,0.0,Generated samples,100.0,9.099159606090913,268.352,3.8862097
2.0,0.0,2.0,2.0,0.0,Generated samples,1.0,0.48495588974420034,52.070034,4.018928
2.0,1.0,2.0,1.0,1.0,Generated samples,25.75,8.855248543411472,72.28783,3.9564786
0.0,1.0,0.0,2.0,0.0,Generated samples,75.25,9.599232026712063,191.90988,3.8962557
2.0,1.0,2.0,2.0,1.0,Generated samples,25.75,8.855248543411472,72.28783,3.9564786
1.0,1.0,0.0,1.0,1.0,Generated samples,100.0,9.099159606090913,268.352,3.8862097
2.0,1.0,2.0,0.0,0.0,Generated samples,50.5,9.042253137464071,138.03867,3.9337447
1.0,0.0,1.0,0.0,1.0,Generated samples,50.5,9.063523301398376,137.48251,3.9271119
1.0,0.0,2.0,2.0,1.0,Generated samples,50.5,9.042253137464071,138.03867,3.9337447
1.0,1.0,1.0,0.0,1.0,Generated samples,75.25,9.630834393220217,190.42566,3.8788502
1.0,0.0,3.0,1.0,1.0,Generated samples,50.5,9.018836996383724,138.25586,3.9297311
1.0,0.0,2.0,2.0,1.0,Generated samples,50.5,9.042253137464071,138.03867,3.9337447
0.0,0.0,0.0,1.0,0.0,Generated samples,75.25,9.599232026712063,191.90988,3.8962557
1.0,1.0,1.0,1.0,1.0,Generated samples,25.75,8.733335536412486,73.35907,3.959833
1.0,0.0,1.0,2.0,1.0,Generated samples,1.0,0.48112078249433365,52.52031,4.0216246
2.0,1.0,1.0,0.0,0.0,Generated samples,1.0,0.48112078249433365,52.52031,4.0216246
2.0,0.0,0.0,2.0,1.0,Generated samples,75.25,9.599232026712063,191.90988,3.8962557
0.0,1.0,2.0,0.0,1.0,Generated samples,100.0,9.21029977142565,264.2431,3.8734465
2.0,0.0,0.0,2.0,0.0,Generated samples,75.25,9.599232026712063,191.90988,3.8962557
2.0,1.0,0.0,1.0,1.0,Generated samples,1.0,0.48391370979135173,51.97567,4.0030236
1.0,0.0,1.0,2.0,1.0,Generated samples,100.0,9.15368338428793,266.60867,3.884099
2.0,1.0,3.0,2.0,1.0,Generated samples,1.0,0.48644473237221975,51.92849,4.020308
1.0,1.0,0.0,0.0,0.0,Generated samples,1.0,0.48391370979135173,51.97567,4.0030236
2.0,1.0,1.0,0.0,1.0,Generated samples,50.5,9.063523301398376,137.48251,3.9271119
1.0,1.0,1.0,0.0,0.0,Generated samples,1.0,0.48112078249433365,52.52031,4.0216246
2.0,1.0,0.0,2.0,1.0,Generated samples,50.5,9.016763977080963,138.25665,3.9288504
1.0,0.0,1.0,1.0,1.0,Generated samples,50.5,9.063523301398376,137.48251,3.9271119
1.0,0.0,1.0,1.0,0.0,Generated samples,100.0,9.15368338428793,266.60867,3.884099
1.0,0.0,3.0,0.0,1.0,Generated samples,25.75,8.798100710091767,72.75578,3.9563923
1.0,1.0,1.0,1.0,0.0,Generated samples,25.75,8.733335536412486,73.35907,3.959833
2.0,0.0,0.0,2.0,1.0,Generated samples,100.0,9.099159606090913,268.352,3.8862097
2.0,0.0,3.0,1.0,0.0,Generated samples,1.0,0.48644473237221975,51.92849,4.020308
2.0,0.0,1.0,0.0,0.0,Generated samples,25.75,8.733335536412486,73.35907,3.959833
1.0,1.0,0.0,1.0,0.0,Generated samples,50.5,9.016763977080963,138.25665,3.9288504
1.0,1.0,0.0,2.0,1.0,Generated samples,100.0,9.099159606090913,268.352,3.8862097
2.0,1.0,2.0,0.0,1.0,Generated samples,1.0,0.48495588974420034,52.070034,4.018928
2.0,1.0,1.0,2.0,1.0,Generated samples,100.0,9.15368338428793,266.60867,3.884099
2.0,0.0,0.0,2.0,0.0,Generated samples,50.5,9.016763977080963,138.25665,3.9288504
1.0,0.0,0.0,2.0,1.0,Generated samples,1.0,0.48391370979135173,51.97567,4.0030236
1.0,1.0,2.0,2.0,0.0,Generated samples,25.75,8.855248543411472,72.28783,3.9564786
1.0,0.0,1.0,0.0,1.0,Generated samples,75.25,9.630834393220217,190.42566,3.8788502
2.0,1.0,2.0,1.0,1.0,Generated samples,50.5,9.042253137464071,138.03867,3.9337447
2.0,1.0,2.0,2.0,1.0,Generated samples,1.0,0.48495588974420034,52.070034,4.018928
2.0,1.0,0.0,1.0,1.0,Generated samples,100.0,9.099159606090913,268.352,3.8862097
2.0,0.0,3.0,2.0,1.0,Generated samples,25.75,8.798100710091767,72.75578,3.9563923
0.0,0.0,2.0,2.0,0.0,Generated samples,1.0,0.48495588974420034,52.070034,4.018928
2.0,0.0,1.0,1.0,0.0,Generated samples,1.0,0.48112078249433365,52.52031,4.0216246
0.0,0.0,2.0,1.0,1.0,Generated samples,100.0,9.21029977142565,264.2431,3.8734465
1.0,0.0,0.0,2.0,0.0,Generated samples,25.75,8.963602294858001,71.462234,3.959151
2.0,1.0,0.0,0.0,1.0,Generated samples,50.5,9.016763977080963,138.25665,3.9288504
2.0,1.0,2.0,1.0,1.0,Generated samples,75.25,9.549114120837915,192.89659,3.8958414
